ALUOp2,ALUOp1,ALUOp0,funct3_2,funct3_1,funct3_0,funct7_5,alu_control_0
0,0,0,0,0,0,0,X
0,0,0,0,0,0,1,X
0,0,0,0,0,1,0,X
0,0,0,0,0,1,1,X
0,0,0,0,1,0,0,X
0,0,0,0,1,0,1,X
0,0,0,0,1,1,0,X
0,0,0,0,1,1,1,X
0,0,0,1,0,0,0,X
0,0,0,1,0,0,1,X
0,0,0,1,0,1,0,X
0,0,0,1,0,1,1,X
0,0,0,1,1,0,0,X
0,0,0,1,1,0,1,X
0,0,0,1,1,1,0,X
0,0,0,1,1,1,1,X
0,0,1,0,0,0,0,X
0,0,1,0,0,0,1,X
0,0,1,0,0,1,0,X
0,0,1,0,0,1,1,X
0,0,1,0,1,0,0,X
0,0,1,0,1,0,1,X
0,0,1,0,1,1,0,X
0,0,1,0,1,1,1,X
0,0,1,1,0,0,0,X
0,0,1,1,0,0,1,X
0,0,1,1,0,1,0,X
0,0,1,1,0,1,1,X
0,0,1,1,1,0,0,X
0,0,1,1,1,0,1,X
0,0,1,1,1,1,0,X
0,0,1,1,1,1,1,X
0,1,0,0,0,0,0,X
0,1,0,0,0,0,1,X
0,1,0,0,0,1,0,X
0,1,0,0,0,1,1,X
0,1,0,0,1,0,0,X
0,1,0,0,1,0,1,X
0,1,0,0,1,1,0,X
0,1,0,0,1,1,1,X
0,1,0,1,0,0,0,X
0,1,0,1,0,0,1,X
0,1,0,1,0,1,0,X
0,1,0,1,0,1,1,X
0,1,0,1,1,0,0,X
0,1,0,1,1,0,1,X
0,1,0,1,1,1,0,X
0,1,0,1,1,1,1,X
0,1,1,0,0,0,0,X
0,1,1,0,0,0,1,X
0,1,1,0,0,1,0,X
0,1,1,0,0,1,1,X
0,1,1,0,1,0,0,X
0,1,1,0,1,0,1,X
0,1,1,0,1,1,0,X
0,1,1,0,1,1,1,X
0,1,1,1,0,0,0,X
0,1,1,1,0,0,1,X
0,1,1,1,0,1,0,X
0,1,1,1,0,1,1,X
0,1,1,1,1,0,0,X
0,1,1,1,1,0,1,X
0,1,1,1,1,1,0,X
0,1,1,1,1,1,1,X
1,0,0,0,0,0,0,X
1,0,0,0,0,0,1,X
1,0,0,0,0,1,0,X
1,0,0,0,0,1,1,X
1,0,0,0,1,0,0,X
1,0,0,0,1,0,1,X
1,0,0,0,1,1,0,X
1,0,0,0,1,1,1,X
1,0,0,1,0,0,0,X
1,0,0,1,0,0,1,X
1,0,0,1,0,1,0,X
1,0,0,1,0,1,1,X
1,0,0,1,1,0,0,X
1,0,0,1,1,0,1,X
1,0,0,1,1,1,0,X
1,0,0,1,1,1,1,X
1,0,1,0,0,0,0,X
1,0,1,0,0,0,1,X
1,0,1,0,0,1,0,X
1,0,1,0,0,1,1,X
1,0,1,0,1,0,0,X
1,0,1,0,1,0,1,X
1,0,1,0,1,1,0,X
1,0,1,0,1,1,1,X
1,0,1,1,0,0,0,X
1,0,1,1,0,0,1,X
1,0,1,1,0,1,0,X
1,0,1,1,0,1,1,X
1,0,1,1,1,0,0,X
1,0,1,1,1,0,1,X
1,0,1,1,1,1,0,X
1,0,1,1,1,1,1,X
1,1,0,0,0,0,0,X
1,1,0,0,0,0,1,X
1,1,0,0,0,1,0,X
1,1,0,0,0,1,1,X
1,1,0,0,1,0,0,X
1,1,0,0,1,0,1,X
1,1,0,0,1,1,0,X
1,1,0,0,1,1,1,X
1,1,0,1,0,0,0,X
1,1,0,1,0,0,1,X
1,1,0,1,0,1,0,X
1,1,0,1,0,1,1,X
1,1,0,1,1,0,0,X
1,1,0,1,1,0,1,X
1,1,0,1,1,1,0,X
1,1,0,1,1,1,1,X
1,1,1,0,0,0,0,X
1,1,1,0,0,0,1,X
1,1,1,0,0,1,0,X
1,1,1,0,0,1,1,X
1,1,1,0,1,0,0,X
1,1,1,0,1,0,1,X
1,1,1,0,1,1,0,X
1,1,1,0,1,1,1,X
1,1,1,1,0,0,0,X
1,1,1,1,0,0,1,X
1,1,1,1,0,1,0,X
1,1,1,1,0,1,1,X
1,1,1,1,1,0,0,X
1,1,1,1,1,0,1,X
1,1,1,1,1,1,0,X
1,1,1,1,1,1,1,X
